id;nombre;pbm;correo
1;Daniel Vargas;73;daniel.vargas1@mail.com
2;Mateo Rios;95;mateo.rios2@mail.com
3;Juan Gil;36;juan.gil3@mail.com
4;Camila Vargas;32;camila.vargas4@mail.com
5;Samuel Torres;24;samuel.torres5@mail.com
6;Samuel Cortes;55;samuel.cortes6@mail.com
7;Samuel Vargas;100;samuel.vargas7@mail.com
8;Andres Gil;80;andres.gil8@mail.com
9;Sofia Castro;88;sofia.castro9@mail.com
10;Andres Cortes;7;andres.cortes10@mail.com
11;Pedro Ruiz;1;pedro.ruiz11@mail.com
12;Valentina Garcia;3;valentina.garcia12@mail.com
13;Andres Ortega;94;andres.ortega13@mail.com
14;Camila Ruiz;56;camila.ruiz14@mail.com
15;Samuel Ortega;44;samuel.ortega15@mail.com
16;Ana Ortega;54;ana.ortega16@mail.com
17;Andrea Ramirez;24;andrea.ramirez17@mail.com
18;Laura Vargas;22;laura.vargas18@mail.com
19;Miguel Lopez;65;miguel.lopez19@mail.com
20;Felipe Rios;1;felipe.rios20@mail.com
21;Daniel Castro;39;daniel.castro21@mail.com
22;Laura Hernandez;63;laura.hernandez22@mail.com
23;Carlos Cortes;34;carlos.cortes23@mail.com
24;Diana Torres;51;diana.torres24@mail.com
25;Valentina Mendoza;54;valentina.mendoza25@mail.com
26;Daniel Castro;95;daniel.castro26@mail.com
27;Luis Gil;6;luis.gil27@mail.com
28;Andres Ruiz;23;andres.ruiz28@mail.com
29;Camila Lopez;93;camila.lopez29@mail.com
30;Jose Acosta;25;jose.acosta30@mail.com
31;Jose Martinez;52;jose.martinez31@mail.com
32;Jose Vargas;49;jose.vargas32@mail.com
33;Luis Gil;90;luis.gil33@mail.com
34;Miguel Hernandez;54;miguel.hernandez34@mail.com
35;Juan Cortes;13;juan.cortes35@mail.com
36;Juan Castro;39;juan.castro36@mail.com
37;Lorena Ramirez;40;lorena.ramirez37@mail.com
38;Pedro Rios;79;pedro.rios38@mail.com
39;Felipe Mendoza;45;felipe.mendoza39@mail.com
40;Samuel Martinez;68;samuel.martinez40@mail.com
41;Andrea Lopez;16;andrea.lopez41@mail.com
42;Andres Torres;6;andres.torres42@mail.com
43;Miguel Torres;26;miguel.torres43@mail.com
44;Sofia Hernandez;100;sofia.hernandez44@mail.com
45;Mateo Acosta;95;mateo.acosta45@mail.com
46;Diana Martinez;92;diana.martinez46@mail.com
47;Mateo Garcia;80;mateo.garcia47@mail.com
48;Felipe Ortega;2;felipe.ortega48@mail.com
49;Camila Lopez;45;camila.lopez49@mail.com
50;Andrea Vargas;58;andrea.vargas50@mail.com
51;Felipe Vargas;14;felipe.vargas51@mail.com
52;Andrea Acosta;22;andrea.acosta52@mail.com
53;Carlos Cortes;83;carlos.cortes53@mail.com
54;Miguel Vargas;54;miguel.vargas54@mail.com
55;Daniel Garcia;41;daniel.garcia55@mail.com
56;Felipe Vargas;18;felipe.vargas56@mail.com
57;Luis Lopez;6;luis.lopez57@mail.com
